Count	ID					STRUCTURE	E-STRUCTURE-SIZE	A. NETWORK QUALITY		M. NETWORK QUALITY		REFERENCE

1    	28_N2086729211                                      UNCERTAIN [0.513]                               1114                     : University of Tokyo
                                                                                                            9510                     : Teikyo University
                                                                                                            grid.265125.7            : 139.75044 | 35.72324 | http://www.toyo.ac.jp/site/english/index.html | Tōyō Daigaku | Toyo University
                                                                                                            9515                     : Toho University
                                                                                                            166215                   : http://en.wikipedia.org/wiki?curid=166215 | http://www.wikidata.org/wiki/Q7842 | http://www.u-tokyo.ac.jp/en | University of Tokyo
                                                                                                            41088998                 : http://en.wikipedia.org/wiki?curid=41088998 | http://www.wikidata.org/wiki/Q11596694 | http://w2.toko.edu.tw/eng | Toko University
                                                                                                            grid.449585.1            : 120.289764 | 23.44806 | http://eng.toko.edu.tw/bin/home.php | Toko University
                                                                                                            grid.262564.1            : 139.70403 | 35.73051 | http://english.rikkyo.ac.jp/ | Rikkyō daigaku | Saint Paul's Universit | Rikkyo University
                                                                                                            13595936                 : http://en.wikipedia.org/wiki?curid=13595936 | http://www.wikidata.org/wiki/Q953446 | http://www.dokkyo.ac.jp/english/index_e.html | Dokkyo University
                                                                                                            grid.26999.3d            : 139.76222 | 35.713333 | http://www.u-tokyo.ac.jp/en/ | Todai | UTokyo | Tōkyō daigaku | University of Tokyo
                                                                                                            1770753                  : http://en.wikipedia.org/wiki?curid=1770753 | http://www.wikidata.org/wiki/Q1287141 | http://www.teikyo-u.ac.jp | Teikyo University
                                                                                                            2487322                  : http://en.wikipedia.org/wiki?curid=2487322 | http://www.wikidata.org/wiki/Q1321655 | http://www.toyo.ac.jp | Toyo University
                                                                                                            573744                   : http://en.wikipedia.org/wiki?curid=573744 | http://www.wikidata.org/wiki/Q1062129 | http://www.tohoku.ac.jp/english | Tohoku University
                                                                                                            1108                     : Tohoku University
                                                                                                            8294346                  : http://en.wikipedia.org/wiki?curid=8294346 | http://www.wikidata.org/wiki/Q8192864 | http://www.toho-u.ac.jp/english/index.html | Toho University
                                                                                                            grid.69566.3a            : 140.87361 | 38.254166 | http://www.tohoku.ac.jp/en/ | Tōhoku daigaku | Tohoku University
                                                                                                            14836578                 : http://en.wikipedia.org/wiki?curid=14836578 | http://www.wikidata.org/wiki/Q5288571 | http://www.doho.ac.jp | Doho University
                                                                                                            15833612                 : http://en.wikipedia.org/wiki?curid=15833612 | http://www.wikidata.org/wiki/Q5288576 | http://www.dohto.ac.jp | Dohto University
                                                                                                            grid.444382.d            : Doho University
                                                                                                            grid.265050.4            : 139.72502 | 35.57103 | http://www.toho-u.ac.jp/english/index.html | Tōhō Daigaku | Toho University
                                                                                                            grid.444314.2            : Dohto University
                                                                                                            17034478                 : http://en.wikipedia.org/wiki?curid=17034478 | http://www.wikidata.org/wiki/Q4986990 | http://www.bukkyo-u.ac.jp/english/index.html | Bukkyo University
                                                                                                            885349                   : http://en.wikipedia.org/wiki?curid=885349 | http://www.wikidata.org/wiki/Q4997802 | http://www.bunkyo.ac.jp/stf/kkokusai/english/index.html | Bunkyo University
                                                                                                            grid.442887.5            : Bunkyo University
                                                                                                            grid.412039.d            : 139.794 | 35.8399 | http://www.dokkyo.ac.jp/ | Dokkyō Daigaku | Dokkyo University
                                                                                                            grid.444208.e            : Bukkyo University
                                                                                                            1312318                  : http://en.wikipedia.org/wiki?curid=1312318 | http://www.wikidata.org/wiki/Q1143235 | http://www.rikkyo.ne.jp/grp/kohoka/englishpages.htm | Rikkyo University
                                                                                                            grid.264706.1            : 139.71584 | 35.759445 | http://www.teikyo-u.ac.jp/english/ | Teikyō Daigaku | Teikyo University
