Count	ID					STRUCTURE	E-STRUCTURE-SIZE	A. NETWORK QUALITY		M. NETWORK QUALITY		REFERENCE

1    	66_N2140182499                                      ACCEPTABLE [0.128]                              grid.415786.9            : 55.40907 | 25.256765 | http://www.moh.gov.ae/en/Pages/default.aspx | Ministry of Health and Prevention | Ministry of Health
                                                                                                            grid.426504.1            : Ministry of Health
                                                                                                            grid.415741.2            : 96.1481 | 16.780172 | http://www.moh.gov.mm/ | Ministry of Health
                                                                                                            grid.415805.d            : 27.542585 | 53.895626 | http://minzdrav.gov.by/en/ | Ministry of Health of the Republic of Belarus | Ministry of Health
                                                                                                            grid.454803.e            : 19.047182 | 47.50212 | http://www.eum.hu/english | Egészségügyi Minisztérium | Ministry of Health
                                                                                                            grid.415752.0            : 32.58573 | -25.969276 | http://www.misau.gov.mz/ | Ministério da Saúde | Ministry of Health
                                                                                                            37992999                 : http://en.wikipedia.org/wiki?curid=37992999 | http://www.wikidata.org/wiki/Q1448544 | http://www.mzcr.cz/cizinci | Ministry of Health (Czech Republic)
                                                                                                            grid.415698.7            : 103.8337 | 1.285955 | https://www.moh.gov.sg | Kementerian Kesihatan | Ministry of Health
                                                                                                            grid.415705.2            : 32.5778 | 0.3328 | http://health.go.ug/ | Uganda Ministry of Health | Ministry of Health
                                                                                                            grid.415696.9            : 46.715557 | 24.657778 | http://www.moh.gov.sa/en/Pages/Sitemap.aspx | Ministry of Health
                                                                                                            21162922                 : http://en.wikipedia.org/wiki?curid=21162922 | http://www.wikidata.org/wiki/Q6867086 | http://www.moh-ghana.org | Ministry of Health (Ghana)
                                                                                                            grid.415725.0            : 50.611057 | 26.214422 | http://www.moh.gov.bh/en/ | Ministry of Health
                                                                                                            26284551                 : http://en.wikipedia.org/wiki?curid=26284551 | http://www.wikidata.org/wiki/Q3442446 | http://zdravlje.gov.hr | Ministry of Health (Croatia)
                                                                                                            33377020                 : http://en.wikipedia.org/wiki?curid=33377020 | http://www.wikidata.org/wiki/Q957137 | http://www.sam.lt | Ministry of Health (Lithuania)
                                                                                                            grid.453059.e            : -123.14426 | 49.271053 | http://www2.gov.bc.ca/gov/content/health | Ministry of Health
                                                                                                            grid.67122.30            : 105.82547 | 21.028585 | http://moh.gov.vn/sites/en-us/pages/home.aspx | Ministry of Health
                                                                                                            grid.450284.f            : 55.455395 | -4.631495 | http://www.health.gov.sc/ | Ministry of Health
                                                                                                            12329239                 : http://en.wikipedia.org/wiki?curid=12329239 | http://www.wikidata.org/wiki/Q4294358 | http://www.mz.gov.pl | Ministry of Health (Poland)
                                                                                                            participant_929285706    : MINISTRY OF HEALTH
                                                                                                            grid.484204.e            : 23.72757 | 37.988323 | http://www.moh.gov.gr/ | Ministry of Health
                                                                                                            37441372                 : http://en.wikipedia.org/wiki?curid=37441372 | http://www.wikidata.org/wiki/Q1720084 | http://www.moh.gov.sa | Ministry of Health (Saudi Arabia)
                                                                                                            grid.415794.a            : 28.318829 | -15.415295 | http://www.moh.gov.zm/ | Ministry of Health
                                                                                                            20152691                 : http://en.wikipedia.org/wiki?curid=20152691 | http://www.wikidata.org/wiki/Q4294357 | http://www.min-saude.pt | Ministry of Health (Portugal)
                                                                                                            30678826                 : http://en.wikipedia.org/wiki?curid=30678826 | http://www.wikidata.org/wiki/Q3302753 | http://www.shendetesia.gov.al | Ministry of Health (Albania)
                                                                                                            grid.420634.7            : -9.144122 | 38.736217 | http://www.portugal.gov.pt/en/ministries/ms.aspx | Ministry of Health
                                                                                                            grid.415709.e            : 106.832405 | -6.230569 | http://www.depkes.go.id/index.php?lg=LN02 | Ministry of Health
                                                                                                            grid.430048.b            : Ministry of Health
                                                                                                            grid.415768.9            : 102.61686 | 17.956877 | http://www.moh.gov.la/ | Ministry of Health
                                                                                                            grid.467925.b            : 12.56324 | 55.676476 | http://www.sum.dk/English.aspx | Ministry of Health
                                                                                                            grid.436087.e            : -3.694075 | 40.413525 | http://www.msssi.gob.es/ | Ministry of Health, Social Services and Equality | Ministry of Health
                                                                                                            grid.415759.b            : 101.70682 | 2.936732 | http://www.moh.gov.my/english.php | Ministry of Health
                                                                                                            grid.415773.3            : 35.940475 | 31.98384 | http://www.moh.gov.jo/en/Pages/default.aspx | Ministry of Health
                                                                                                            27703587                 : http://en.wikipedia.org/wiki?curid=27703587 | http://www.wikidata.org/wiki/Q6867090 | http://www.saude.gov.br | Ministry of Health (Brazil)
                                                                                                            grid.415703.4            : 58.546562 | 23.612696 | https://www.moh.gov.om/ | Ministry of Health
                                                                                                            grid.415732.6            : 104.91507 | 11.568994 | http://www.hiscambodia.org/public/homepage_kh.php | Ministry of Health
                                                                                                            grid.415722.7            : 33.757675 | -13.993608 | https://www.malawi.gov.mw/index.php?option=com_content&view=article&id=50&Itemid=22 | Ministry of Health
                                                                                                            grid.415779.9            : -70.646965 | -33.43639 | http://www.gob.cl/ministers/health/ | Ministry of Health
                                                                                                            grid.415700.7            : 32.855713 | 39.928253 | http://www.saglik.gov.tr/TR/ana-sayfa/1-0/20150908.html | Sağlık Bakanlığı | Ministry of Health
                                                                                                            grid.436176.1            : Ministry of Health
                                                                                                            grid.415762.3            : 31.237223 | 30.039167 | http://www.mohp.gov.eg/default.aspx | Ministry of Health
                                                                                                            grid.421714.5            : Ministry of Health
                                                                                                            participant_999596156    : http://risis.eu/cordisH2020/resource/www.health.gov.il | MINISTRY OF HEALTH
                                                                                                            grid.415738.c            : 37.618603 | 55.765263 | https://www.rosminzdrav.ru/ | Ministry of Health
                                                                                                            grid.415807.f            : 25.908209 | -24.655993 | http://www.moh.gov.bw/ | Ministry of Health
                                                                                                            grid.415708.f            : 174.77786 | -41.272762 | http://www.health.govt.nz/ | Manatū Hauora | Ministry of Health
                                                                                                            grid.415808.0            : 44.381256 | 33.34765 | http://www.moh.gov.iq/ | Ministry of Health
                                                                                                            28642229                 : http://en.wikipedia.org/wiki?curid=28642229 | http://www.wikidata.org/wiki/Q4294347 | http://www.mohs.gov.mm | Ministry of Health (Myanmar)
                                                                                                            grid.415706.1            : 47.881496 | 29.32307 | http://www.moh.gov.kw/en | Ministry of Health
                                                                                                            34249212                 : http://en.wikipedia.org/wiki?curid=34249212 | http://www.wikidata.org/wiki/Q6867100 | Ministry of Health (South Sudan)
                                                                                                            grid.453016.5            : 14.41571 | 50.072964 | http://www.mzcr.cz/Cizinci/ | Ministry of Health
                                                                                                            2250973                  : http://en.wikipedia.org/wiki?curid=2250973 | http://www.wikidata.org/wiki/Q16933991 | http://www.health.govt.nz | Ministry of Health (New Zealand)
                                                                                                            4399136                  : http://en.wikipedia.org/wiki?curid=4399136 | http://www.wikidata.org/wiki/Q6867095 | http://www.health.nsw.gov.au | Ministry of Health (New South Wales)
                                                                                                            21517303                 : http://en.wikipedia.org/wiki?curid=21517303 | http://www.wikidata.org/wiki/Q6867111 | http://moh.gov.vn | Ministry of Health (Vietnam)
                                                                                                            grid.415881.1            : 30.524876 | 50.453262 | http://www.moz.gov.ua/ua/portal/ | Ministry of Health
                                                                                                            10284122                 : http://en.wikipedia.org/wiki?curid=10284122 | http://www.wikidata.org/wiki/Q4294365 | http://www.saglik.gov.tr | Ministry of Health (Turkey)
                                                                                                            1639322                  : http://en.wikipedia.org/wiki?curid=1639322 | http://www.wikidata.org/wiki/Q4383964 | http://www.moh.gov.sg | Ministry of Health (Singapore)
                                                                                                            grid.415765.4            : -0.196391 | 5.552511 | http://www.moh.gov.gh/ | Ministry of Health
                                                                                                            grid.463475.7            : 31.127121 | -26.3295 | http://www.gov.sz/index.php?option=com_content&view=article&id=267&Itemid=403 | Ministry of Health
                                                                                                            grid.414596.b            : -38.518387 | -12.981478 | http://portalsaude.saude.gov.br/index.php/cidadao/principal/english | Ministry of Health
                                                                                                            29896200                 : http://en.wikipedia.org/wiki?curid=29896200 | http://www.wikidata.org/wiki/Q2624248 | https://www.rosminzdrav.ru | Ministry of Health (Russia)
                                                                                                            grid.415727.2            : 36.815166 | -1.291609 | http://www.health.go.ke/ | Ministry of Public Health and Sanitation | Ministry of Health
                                                                                                            grid.466912.e            : 15.974622 | 45.81619 | https://zdravlje.gov.hr/ | Ministry of Health
                                                                                                            grid.415730.4            : -76.793045 | 17.963999 | http://moh.gov.jm/ | Ministry of Health
                                                                                                            33528060                 : http://en.wikipedia.org/wiki?curid=33528060 | http://www.wikidata.org/wiki/Q3113883 | http://www.msps.es | Ministry of Health (Spain)
                                                                                                            grid.436179.e            : Ministry of Health
                                                                                                            20298442                 : http://en.wikipedia.org/wiki?curid=20298442 | http://www.wikidata.org/wiki/Q16842456 | http://www.moh.gov.iq | Ministry of Health (Iraq)
